# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,CODEJDRLMV,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
3.923632342189443456e+00, 0.000000000000000000e+00, -8.841783030061901513e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.813857536845889573e+00, 0.000000000000000000e+00, -2.124953468221348063e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
3.659313295667395938e+00, 0.000000000000000000e+00, -3.813114744920474003e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
3.448005409885338768e+00, 0.000000000000000000e+00, -6.014835921075011721e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
3.170343283371190868e+00, 0.000000000000000000e+00, -8.726358867811358222e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
2.823942595505156916e+00, 0.000000000000000000e+00, -1.181445642025763937e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
2.418704413079356019e+00, 0.000000000000000000e+00, -1.497011513888973633e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
1.978799636679722251e+00, 0.000000000000000000e+00, -1.771570986851322416e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.538411805740539151e+00, 0.000000000000000000e+00, -1.951611364334676635e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.131989401191407785e+00, 0.000000000000000000e+00, -1.998362037985493556e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.843663953176703840e-01, 0.000000000000000000e+00, -1.904445377609248480e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
5.062313460534935139e-01, 0.000000000000000000e+00, -1.691581463865972079e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
2.959385305376095454e-01, 0.000000000000000000e+00, -1.392906548439881431e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
1.448356006366984250e-01, 0.000000000000000000e+00, -1.031081403624884152e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
4.370676798997041868e-02, 0.000000000000000000e+00, -5.939820125677944956e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
4.370676798996882273e-02, 0.000000000000000000e+00, 5.939820125677842955e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.448356006366976756e-01, 0.000000000000000000e+00, 1.031081403624881654e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
2.959385305376083242e-01, 0.000000000000000000e+00, 1.392906548439879488e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
5.062313460534930698e-01, 0.000000000000000000e+00, 1.691581463865971524e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.843663953176687187e-01, 0.000000000000000000e+00, 1.904445377609247092e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.131989401191406230e+00, 0.000000000000000000e+00, 1.998362037985493833e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.538411805740537597e+00, 0.000000000000000000e+00, 1.951611364334677190e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.978799636679720919e+00, 0.000000000000000000e+00, 1.771570986851323248e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.418704413079353355e+00, 0.000000000000000000e+00, 1.497011513888975298e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.823942595505153363e+00, 0.000000000000000000e+00, 1.181445642025766851e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.170343283371188647e+00, 0.000000000000000000e+00, 8.726358867811373488e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
3.448005409885334771e+00, 0.000000000000000000e+00, 6.014835921075026987e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
3.659313295667398602e+00, 0.000000000000000000e+00, 3.813114744920599597e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
3.813857536845901564e+00, 0.000000000000000000e+00, 2.124953468221537842e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.923632342189452338e+00, 0.000000000000000000e+00, 8.841783030063325721e-03, 1.000000000000000000e+00, 3.958266880232111262e+00
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
3.799999999999999822e+00, 1.799999999999999600e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
3.727450725079973104e+00, 1.799999999999999600e+00, -8.399693878558807045e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
3.623164660003597604e+00, 1.799999999999999600e+00, -2.018705794810280590e-02, 1.199999999999999956e+00, 9.595583006934514658e-02
3.476347630884027318e+00, 1.799999999999999600e+00, -3.622459007674450060e-02, 1.199999999999999956e+00, 1.722603643809275942e-01
3.275605139391071674e+00, 1.799999999999999600e+00, -5.714094125021260823e-02, 1.199999999999999956e+00, 2.765358755368439447e-01
3.011826119202630991e+00, 1.799999999999999600e+00, -8.290040924420789825e-02, 1.199999999999999956e+00, 4.134663504172014781e-01
2.682745465729899248e+00, 1.799999999999999600e+00, -1.122373359924475761e-01, 1.199999999999999956e+00, 5.841612375912467181e-01
2.297769192425388241e+00, 1.799999999999999600e+00, -1.422160938194524937e-01, 1.199999999999999956e+00, 7.836633902842906618e-01
1.879859654845736028e+00, 1.799999999999999600e+00, -1.682992437508756267e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
1.461491215453512238e+00, 1.799999999999999600e+00, -1.854030796117942803e-01, 1.199999999999999956e+00, 1.216336609715709338e+00
1.075389931131837340e+00, 1.799999999999999600e+00, -1.898443936086218753e-01, 1.199999999999999956e+00, 1.415838762408753171e+00
7.451480755517869703e-01, 1.799999999999999600e+00, -1.809223108728786056e-01, 1.199999999999999956e+00, 1.586533649582798411e+00
4.809197787508188715e-01, 1.799999999999999600e+00, -1.607002390672673531e-01, 1.199999999999999956e+00, 1.723464124463156111e+00
2.811416040107290737e-01, 1.799999999999999600e+00, -1.323261221017887346e-01, 1.199999999999999956e+00, 1.827739635619072267e+00
1.375938206048635259e-01, 1.799999999999999600e+00, -9.795273334436399582e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
4.152142959047189913e-02, 1.799999999999999600e+00, -5.642829119394048021e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 1.799999999999999600e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
4.152142959047037951e-02, 1.799999999999999600e+00, 5.642829119393950876e-02, 1.199999999999999956e+00, 2.041733119767888294e+00
1.375938206048627765e-01, 1.799999999999999600e+00, 9.795273334436375989e-02, 1.199999999999999956e+00, 2.095955830069344827e+00
2.811416040107279080e-01, 1.799999999999999600e+00, 1.323261221017885680e-01, 1.199999999999999956e+00, 2.172260364380927733e+00
4.809197787508184274e-01, 1.799999999999999600e+00, 1.607002390672672976e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
7.451480755517853050e-01, 1.799999999999999600e+00, 1.809223108728784668e-01, 1.199999999999999956e+00, 2.413466350417201589e+00
1.075389931131836008e+00, 1.799999999999999600e+00, 1.898443936086219030e-01, 1.199999999999999956e+00, 2.584161237591246607e+00
1.461491215453510684e+00, 1.799999999999999600e+00, 1.854030796117943358e-01, 1.199999999999999956e+00, 2.783663390284290440e+00
1.879859654845734918e+00, 1.799999999999999600e+00, 1.682992437508757100e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
2.297769192425385576e+00, 1.799999999999999600e+00, 1.422160938194526603e-01, 1.199999999999999956e+00, 3.216336609715709116e+00
2.682745465729895695e+00, 1.799999999999999600e+00, 1.122373359924478536e-01, 1.199999999999999956e+00, 3.415838762408752949e+00
3.011826119202629215e+00, 1.799999999999999600e+00, 8.290040924420803703e-02, 1.199999999999999956e+00, 3.586533649582798411e+00
3.275605139391068121e+00, 1.799999999999999600e+00, 5.714094125021275394e-02, 1.199999999999999956e+00, 3.723464124463156111e+00
3.476347630884028206e+00, 1.799999999999999600e+00, 3.622459007674569409e-02, 1.199999999999999956e+00, 3.827739635619072267e+00
3.623164660003605153e+00, 1.799999999999999600e+00, 2.018705794810461002e-02, 1.199999999999999956e+00, 3.904044169930655173e+00
3.727450725079978877e+00, 1.799999999999999600e+00, 8.399693878560158394e-03, 1.199999999999999956e+00, 3.958266880232111262e+00
3.799999999999999822e+00, 1.799999999999999600e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 4.000000000000000000e+00
3.600000000000000089e+00, 3.599999999999999201e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 0.000000000000000000e+00
3.531269107970502752e+00, 3.599999999999999201e+00, -7.957604727055710842e-03, 1.399999999999999911e+00, 4.173311976788848798e-02
3.432471783161305634e+00, 3.599999999999999201e+00, -1.912458121399213118e-02, 1.399999999999999911e+00, 9.595583006934514658e-02
